Picture,DistortionType,DistortionValue,Filename,LPIPS
Hotdog,Blur,10.0,Hotdog_blur_10_0.png,0.12640413641929626
Hotdog,Blur,1.0,Hotdog_blur_1_0.png,0.00010171809117309749
Hotdog,Blur,2.0,Hotdog_blur_2_0.png,0.00101596734020859
Hotdog,Blur,5.0,Hotdog_blur_5_0.png,0.02280592918395996
Hotdog,Brightness,0.0,Hotdog_brightness_0.bmp,0.0
Hotdog,Brightness,1.0,Hotdog_brightness_1.png,0.0
Hotdog,Brightness,2.0,Hotdog_brightness_2.png,0.3417379558086395
Hotdog,Brightness,20.0,Hotdog_brightness_20.png,0.7332258820533752
Hotdog,Brightness,5.0,Hotdog_brightness_5.png,0.5952529311180115
Hotdog,Circularblur,0.0,Hotdog_circularBlur_0.bmp,0.0
Hotdog,Circularblur,3.0,Hotdog_circularBlur_3.png,0.00041265436448156834
Hotdog,Circularblur,5.0,Hotdog_circularBlur_5.png,0.002596466336399317
Hotdog,Circularblur,7.0,Hotdog_circularBlur_7.png,0.007804466877132654
Hotdog,Circularblur,9.0,Hotdog_circularBlur_9.png,0.019361484795808792
Hotdog,Dilation,0.0,Hotdog_dilation_0.bmp,0.0
Hotdog,Dilation,3.0,Hotdog_dilation_3.png,0.022370290011167526
Hotdog,Dilation,5.0,Hotdog_dilation_5.png,0.05292409658432007
Hotdog,Dilation,7.0,Hotdog_dilation_7.png,0.09024053066968918
Hotdog,Dilation,9.0,Hotdog_dilation_9.png,0.12216435372829437
Hotdog,Hole,0.0,Hotdog_hole_0.bmp,0.0
Hotdog,Hole,0.05,Hotdog_hole_0_05.png,0.025226423516869545
Hotdog,Hole,0.1,Hotdog_hole_0_1.png,0.035591088235378265
Hotdog,Hole,0.15,Hotdog_hole_0_15.png,0.04357554018497467
Hotdog,Hole,0.2,Hotdog_hole_0_2.png,0.06351612508296967
Hotdog,Noise,0.0,Hotdog_noise_0.bmp,0.0
Hotdog,Noise,0.01,Hotdog_noise_0_01.png,0.00013780861627310514
Hotdog,Noise,0.05,Hotdog_noise_0_05.png,0.00014124091831035912
Hotdog,Noise,0.1,Hotdog_noise_0_1.png,0.00014274708519224077
Hotdog,Noise,0.25,Hotdog_noise_0_25.png,0.0001350707170786336
Hotdog,Rotate,0.0,Hotdog_rotate_0.bmp,0.0
Hotdog,Rotate,1.0,Hotdog_rotate_1.png,0.07702858746051788
Hotdog,Rotate,10.0,Hotdog_rotate_10.png,0.4212084710597992
Hotdog,Rotate,2.0,Hotdog_rotate_2.png,0.1248500645160675
Hotdog,Rotate,5.0,Hotdog_rotate_5.png,0.2639760375022888
Hotdog,Saturation,0.0,Hotdog_saturation_0.bmp,0.0
Hotdog,Saturation,1.1,Hotdog_saturation_1_1.png,0.0019427225925028324
Hotdog,Saturation,1.5,Hotdog_saturation_1_5.png,0.028630198910832405
Hotdog,Saturation,2.0,Hotdog_saturation_2.png,0.07878214865922928
Hotdog,Saturation,5.0,Hotdog_saturation_5.png,0.2787037789821625
Hotdog,Shift,0.0,Hotdog_shift_0.bmp,0.0
Hotdog,Shift,1.0,Hotdog_shift_1.png,0.0013815023703500628
Hotdog,Shift,10.0,Hotdog_shift_10.png,0.0544707216322422
Hotdog,Shift,2.0,Hotdog_shift_2.png,0.0049387067556381226
Hotdog,Shift,5.0,Hotdog_shift_5.png,0.023806851357221603
Ziemniaki,Blur,0.0,Ziemniaki_blur_0.bmp,0.0
Ziemniaki,Blur,100.0,Ziemniaki_blur_100_0.png,0.7308537364006042
Ziemniaki,Blur,10.0,Ziemniaki_blur_10_0.png,0.24839121103286743
Ziemniaki,Blur,1.0,Ziemniaki_blur_1_0.png,0.00035766203654929996
Ziemniaki,Blur,2.0,Ziemniaki_blur_2_0.png,0.0036472040228545666
Ziemniaki,Blur,5.0,Ziemniaki_blur_5_0.png,0.06584768742322922
Ziemniaki,Brightness,0.0,Ziemniaki_brightness_0.bmp,0.0
Ziemniaki,Brightness,1.0,Ziemniaki_brightness_1.png,0.0
Ziemniaki,Brightness,2.0,Ziemniaki_brightness_2.png,0.29784682393074036
Ziemniaki,Brightness,20.0,Ziemniaki_brightness_20.png,0.8884268999099731
Ziemniaki,Brightness,5.0,Ziemniaki_brightness_5.png,0.7995453476905823
Ziemniaki,Circularblur,0.0,Ziemniaki_circularBlur_0.bmp,0.0
Ziemniaki,Circularblur,3.0,Ziemniaki_circularBlur_3.png,0.0014563415898010135
Ziemniaki,Circularblur,5.0,Ziemniaki_circularBlur_5.png,0.009249037131667137
Ziemniaki,Circularblur,7.0,Ziemniaki_circularBlur_7.png,0.026114696636795998
Ziemniaki,Circularblur,9.0,Ziemniaki_circularBlur_9.png,0.059538472443819046
Ziemniaki,Dilation,0.0,Ziemniaki_dilation_0.bmp,0.0
Ziemniaki,Dilation,3.0,Ziemniaki_dilation_3.png,0.13438014686107635
Ziemniaki,Dilation,5.0,Ziemniaki_dilation_5.png,0.20356924831867218
Ziemniaki,Dilation,7.0,Ziemniaki_dilation_7.png,0.25946998596191406
Ziemniaki,Dilation,9.0,Ziemniaki_dilation_9.png,0.2995857000350952
Ziemniaki,Hole,0.0,Ziemniaki_hole_0.bmp,0.0
Ziemniaki,Hole,0.05,Ziemniaki_hole_0_05.png,0.05497806891798973
Ziemniaki,Hole,0.1,Ziemniaki_hole_0_1.png,0.0814817026257515
Ziemniaki,Hole,0.15,Ziemniaki_hole_0_15.png,0.10554944723844528
Ziemniaki,Hole,0.2,Ziemniaki_hole_0_2.png,0.13488472998142242
Ziemniaki,Noise,0.0,Ziemniaki_noise_0.bmp,0.0
Ziemniaki,Noise,0.01,Ziemniaki_noise_0_01.png,0.00023592737852595747
Ziemniaki,Noise,0.05,Ziemniaki_noise_0_05.png,0.0002384142717346549
Ziemniaki,Noise,0.1,Ziemniaki_noise_0_1.png,0.00023238762514665723
Ziemniaki,Noise,0.25,Ziemniaki_noise_0_25.png,0.00023302675981540233
Ziemniaki,Rotate,0.0,Ziemniaki_rotate_0.bmp,0.0
Ziemniaki,Rotate,1.0,Ziemniaki_rotate_1.png,0.08819670975208282
Ziemniaki,Rotate,10.0,Ziemniaki_rotate_10.png,0.34493905305862427
Ziemniaki,Rotate,2.0,Ziemniaki_rotate_2.png,0.13520585000514984
Ziemniaki,Rotate,5.0,Ziemniaki_rotate_5.png,0.22996710240840912
Ziemniaki,Saturation,0.0,Ziemniaki_saturation_0.bmp,0.0
Ziemniaki,Saturation,1.1,Ziemniaki_saturation_1_1.png,0.001464699860662222
Ziemniaki,Saturation,1.5,Ziemniaki_saturation_1_5.png,0.01912001520395279
Ziemniaki,Saturation,2.0,Ziemniaki_saturation_2.png,0.05505216494202614
Ziemniaki,Saturation,5.0,Ziemniaki_saturation_5.png,0.23147070407867432
Ziemniaki,Shift,0.0,Ziemniaki_shift_0.bmp,0.0
Ziemniaki,Shift,1.0,Ziemniaki_shift_1.png,0.0022840751335024834
Ziemniaki,Shift,10.0,Ziemniaki_shift_10.png,0.08862107992172241
Ziemniaki,Shift,2.0,Ziemniaki_shift_2.png,0.009118365123867989
Ziemniaki,Shift,5.0,Ziemniaki_shift_5.png,0.045607928186655045
